STOP_NAME;STOP_NUMBER;POSITION_X;POSITION_Y;DISTANCE;Route_A
St-Sulpice VD, Venoge nord;8594988;2531466;1151782;0;True
Ecublens VD, Champs-Courbes;8591959;2531812;1152058;443;True
Ecublens VD, Montaney;8594890;2532022;1152331;787;True
Ecublens VD, Renges;8591956;2532177;1152742;1226;True
Ecublens VD, En Enjalin;8591949;2532358;1152927;1485;True
Ecublens VD, Perrettes;8591954;2532466;1153147;1730;True
Ecublens VD, Villars;8591961;2532675;1153514;2153;True
Ecublens VD, Pontet;8588873;2533051;1153539;2529;True
Ecublens VD, Veilloud;8591960;2532936;1153704;2730;True
Ecublens VD, Stand;8591957;2532783;1153872;2958;True
Ecublens VD, place de sport;8591955;2532890;1154149;3255;True
Ecublens VD, Croset;8591948;2533084;1154084;3459;True
Ecublens VD, Parc;8591953;2533217;1154336;3744;True
Ecublens VD, Suchet-Forêt;8591958;2533411;1154656;4118;True
Ecublens VD, Epenex/Pont-Bleu;8510721;2533763;1154498;4504;True
Renens VD, gare sud;8588983;2534082;1154287;4887;True
Renens VD, Censuy;8592209;2534431;1153812;5476;True
Renens VD, Caudray;8592218;2534580;1153738;5643;True
Renens VD, Chêne;8592210;2534899;1153437;6081;True
Renens VD, rue du Lac;8592219;2535061;1153251;6328;True
Renens VD, Longemalle;8592215;2535392;1153045;6718;True
Lausanne, Malley;8501209;2535848;1152880;7202;True
Prilly, Galicien;8592049;2535968;1153319;7657;True
Prilly, Flumeaux;8592179;2535710;1153529;7990;True
Prilly, Grand Vigne;8592180;2535964;1153723;8310;True
Prilly, centre;8592173;2536065;1154037;8640;True
Prilly, Chasseur;8592175;2536176;1154545;9159;True
Prilly, Coudraie;8592176;2536413;1154670;9427;True
Prilly, Mont-Goulin;8592187;2536517;1154484;9640;True
Count;;;;;154
Direction;;;;;RO
