STOP_NAME;STOP_NUMBER;POSITION_X;POSITION_Y;DISTANCE;Route_A;Route_B;Route_C;Route_D
Prilly, Galicien;8592049;2535968;1153319;0;yes;yes;yes;yes
Lausanne, Malley;8501209;2535848;1152880;455;yes;yes;yes;yes
Renens VD, Longemalle;8592215;2535392;1153045;940;yes;yes;yes;yes
Renens VD, rue du Lac;8592219;2535061;1153251;1330;yes;yes;yes;yes
Renens VD, Chêne;8592210;2534899;1153437;1576;yes;yes;yes;yes
Renens VD, Caudray;8592218;2534580;1153738;2015;yes;yes;yes;yes
Renens VD, Censuy;8592209;2534431;1153812;2181;yes;yes;yes;yes
Chavannes-R., Préfaully;8593866;2534059;1153950;2578;yes;yes;yes;yes
Chavannes-R., Concorde;8593868;2533691;1153816;2970;yes;yes;yes;yes
Chavannes-R., Planta;8591933;2533594;1154023;3198;yes;yes;yes;yes
Chavannes-R., Glycines;8593869;2533869;1154252;3556;yes;yes;yes;yes
Renens VD, gare sud;8588983;2534082;1154287;3772;yes;yes;yes;yes
Renens VD, Avenir;8592202;2534348;1154499;4112;yes;yes;yes;yes
Renens VD, 14 Avril;8588839;2534113;1154587;4364;yes;yes;yes;yes
Crissier, Chicorée;8510421;2534111;1154746;4522;yes;;;yes
Crissier, Noutes;8588840;2534099;1155053;4830;yes;yes;yes;yes
Crissier, scierie;8588841;2534095;1155420;5197;yes;yes;yes;yes
Crissier, Bré;8588842;2534093;1155828;5605;yes;yes;yes;yes
Crissier, centre;8588843;2533922;1156187;6002;yes;yes;yes;yes
Crissier, Timonet;8588845;2533672;1156420;6344;yes;yes;yes;yes
Villars-Ste-Croix, Croix Péage;8588846;2533051;1157027;7213;yes;yes;yes;yes
Villars-Ste-Croix, Colice;8595978;2533113;1157179;7377;yes;;;yes
Villars-Ste-Croix, Le Sansy;8588848;2533042;1157804;8006;yes;;;yes
Villars-Ste-Croix, village;8588847;2532765;1157793;8283;yes;;;yes
Villars-Ste-Croix, En Coulaye;8583748;2532575;1157570;8577;yes;yes;yes;
Mex VD, Faraz;8594270;2531907;1157602;9162;;;yes;yes
Count;;;;;47;46;34;34
Direction;;;;;O;R;R;O
